seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12504,715393,8601,home,0,,1,1,-1,252160,Kassim M'Dahoma,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715393,8601,home,0,,1,1,10,172195,Youssouf M'Changama,Midfielder,0,0,0,-1,,,,1,341747,-1,341747.0,4590.0,77',2024-10-14 06:59:34
12504,715393,8601,home,0,,1,1,-1,324002,Iyad Mohamed,Midfielder,0,0,0,-1,,,,1,356967,-1,356967.0,2520.0,42',2024-10-14 01:54:08
12504,715393,8601,home,0,,1,1,-1,227417,Faïz Selemani,Forward,0,0,0,-1,,,,1,215540,-1,215540.0,4200.0,70',2024-10-14 01:54:08
12504,715393,8601,home,0,,1,1,-1,251550,Akim Abdallah,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715393,8601,home,0,,1,1,-1,255654,Myziane Maolida,Forward,0,0,0,-1,,,,1,121579,-1,121579.0,4575.0,77',2024-10-14 01:54:08
12504,715393,8601,home,0,,1,1,-1,260235,Yacine Bourhane,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715393,8601,home,0,,1,1,-1,262736,Saïd Bakari,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715393,8601,home,0,,1,1,-1,305692,Rafiki Said,Forward,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715393,8601,home,0,,1,1,-1,309840,Warmed Omari,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715393,8601,home,0,,1,1,-1,318565,Yannick Pandor,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715393,8601,home,0,,1,0,-1,356967,Rayan Lutin,Midfielder,0,1,324002,-1,324002.0,2520.0,42',0,0,-1,,,,2024-10-14 01:54:08
12504,715393,8601,home,0,,1,0,-1,299400,Faiz Mattoir,Forward,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715393,8601,home,0,,1,0,49,341747,Raimane Daou,Defender,0,1,172195,-1,172195.0,4590.0,77',0,0,-1,,,,2024-10-14 06:59:34
12504,715393,8601,home,0,,1,0,-1,215540,Benjaloud Youssouf,Midfielder,0,1,227417,-1,227417.0,4200.0,70',0,0,-1,,,,2024-10-14 01:54:08
12504,715393,8601,home,0,,1,0,31,121579,El Fardou Ben Nabouhane,Forward,0,1,255654,-1,255654.0,4575.0,77',0,0,-1,,,,2024-10-14 06:59:34
12504,715393,7368,away,0,,1,1,-1,384902,Edrissa Ceesay,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715393,7368,away,0,,1,1,-1,348787,Yankuba Minteh,Forward,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715393,7368,away,0,,1,1,-1,301019,James Gomez,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715393,7368,away,0,,1,1,-1,289118,Sheikh Sibi,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715393,7368,away,0,,1,1,-1,287077,Ebrima Colley,Forward,0,0,0,-1,,,,1,174014,-1,174014.0,2760.0,46',2024-10-14 06:59:34
12504,715393,7368,away,0,,1,1,-1,269072,Musa Barrow,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715393,7368,away,0,,1,1,-1,259020,Abdoulie Jallow,Midfielder,0,0,0,-1,,,,1,324705,-1,324705.0,3900.0,65',2024-10-14 01:54:08
12504,715393,7368,away,0,,1,1,-1,236587,Joseph Ceesay,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715393,7368,away,0,,1,1,-1,199193,Ebrima Adams,Midfielder,0,0,0,-1,,,,1,298409,-1,298409.0,5340.0,89',2024-10-14 01:54:08
12504,715393,7368,away,0,,1,1,-1,192360,Ibou Touray,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715393,7368,away,0,,1,1,-1,174010,Ali Sowe,Forward,0,0,0,-1,,,,1,380022,-1,380022.0,3870.0,65',2024-10-14 01:54:08
12504,715393,7368,away,0,,1,0,-1,174014,Hamza Barry,Midfielder,0,1,287077,-1,287077.0,2760.0,46',0,0,-1,,,,2024-10-14 06:59:34
12504,715393,7368,away,0,,1,0,-1,324705,Alieu Fadera,Forward,0,1,259020,-1,259020.0,3900.0,65',0,0,-1,,,,2024-10-14 01:54:08
12504,715393,7368,away,0,,1,0,-1,298409,Ebrima Darboe,Midfielder,0,1,199193,-1,199193.0,5340.0,89',0,0,-1,,,,2024-10-14 01:54:08
12504,715393,7368,away,0,,1,0,16,380022,Adama Sidibeh,Forward,0,1,174010,-1,174010.0,3870.0,65',0,0,-1,,,,2024-10-14 01:54:08
12504,715394,659,home,1,,1,1,23,342952,Sayfallah Ltaief,Midfielder,0,0,0,-1,,,,1,391120,19,391120.0,3358.0,56',2024-10-14 01:54:08
12504,715394,659,home,1,,1,1,1,358865,Amenallah Memmiche,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715394,659,home,1,,1,1,21,358860,Rayed Bouchniba,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715394,659,home,1,,1,1,8,294356,Hamza Rafia,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715394,659,home,1,,1,1,5,283953,Mohamed Ali Ben Romdhane,Forward,0,0,0,-1,,,,1,187249,13,187249.0,4200.0,70',2024-10-14 01:54:08
12504,715394,659,home,1,,1,1,15,282562,Ali Youssef,Forward,0,0,0,-1,,,,1,185248,9,185248.0,3359.0,56',2024-10-14 01:54:08
12504,715394,659,home,1,,1,1,12,273170,Mortadha Ben Ouanes,Forward,0,0,0,-1,,,,1,191104,18,191104.0,5218.0,87',2024-10-14 01:54:08
12504,715394,659,home,1,,1,1,3,265099,Montassar Talbi,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715394,659,home,1,,1,1,14,231984,Aïssa Laïdouni,Midfielder,0,0,0,-1,,,,1,195252,7,195252.0,5217.0,87',2024-10-14 01:54:08
12504,715394,659,home,1,,1,1,4,230338,Yassine Meriah,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715394,659,home,1,,1,1,2,265234,Ali Abdi,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715394,659,home,1,,1,0,7,195252,Bilel Mejri,Substitute,0,1,231984,14,231984.0,5217.0,87',0,0,-1,,,,2024-10-14 01:54:08
12504,715394,659,home,1,,1,0,18,191104,Nader Ghandri,Substitute,0,1,273170,12,273170.0,5218.0,87',0,0,-1,,,,2024-10-14 01:54:08
12504,715394,659,home,1,,1,0,13,187249,Ferjani Sassi,Substitute,0,1,283953,5,283953.0,4200.0,70',0,0,-1,,,,2024-10-14 01:54:08
12504,715394,659,home,1,,1,0,9,185248,Haythem Jouini,Substitute,0,1,282562,15,282562.0,3359.0,56',0,0,-1,,,,2024-10-14 01:54:08
12504,715394,659,home,1,,1,0,19,391120,Hamza Khadhraoui,Substitute,0,1,342952,23,342952.0,3358.0,56',0,0,-1,,,,2024-10-14 01:54:08
12504,715394,5533,away,0,,1,1,12,370099,Rado Rabemananjara,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715394,5533,away,0,,1,1,3,370100,Titouan Fortun,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715394,5533,away,0,,1,1,20,376807,Louis Démoléon,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715394,5533,away,0,,1,1,17,391114,Johan N'Zi,Midfielder,0,0,0,-1,,,,1,370074,6,370074.0,5400.0,90'+1',2024-10-14 01:54:08
12504,715394,5533,away,0,,1,1,9,299101,Arnaud Randrianantenaina,Midfielder,0,0,0,-1,,,,1,320794,11,320794.0,4620.0,77',2024-10-14 01:54:08
12504,715394,5533,away,0,,1,1,15,265243,Ibrahim Amada,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715394,5533,away,0,,1,1,23,264226,Sonny Laiton,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715394,5533,away,0,,1,1,10,262504,Loic Lapoussin,Midfielder,0,0,0,-1,,,,1,345379,19,345379.0,5219.0,87',2024-10-14 01:54:08
12504,715394,5533,away,0,,1,1,14,218527,Warren Caddy,Forward,0,0,0,-1,,,,1,230245,2,,,,2024-10-14 01:54:08
12504,715394,5533,away,0,,1,1,8,213101,Rayan Raveloson,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715394,5533,away,0,,1,1,21,129870,Thomas Fontaine,Defender,0,0,0,-1,,,,1,320708,5,320708.0,5280.0,88',2024-10-14 01:54:08
12504,715394,5533,away,0,,1,0,19,345379,Tendry Randrianarijaona,Substitute,0,1,262504,10,262504.0,5219.0,87',0,0,-1,,,,2024-10-14 01:54:08
12504,715394,5533,away,0,,1,0,6,370074,Rojolalaina Andriamanjato,Substitute,0,1,391114,17,391114.0,5400.0,90'+1',0,0,-1,,,,2024-10-14 01:54:08
12504,715394,5533,away,0,,1,0,11,320794,El Hadary Raheriniaina,Substitute,0,1,299101,9,299101.0,4620.0,77',0,0,-1,,,,2024-10-14 01:54:08
12504,715394,5533,away,0,,1,0,5,320708,Berajo,Substitute,0,1,129870,21,129870.0,5280.0,88',0,0,-1,,,,2024-10-14 01:54:08
12504,715394,5533,away,0,,1,0,2,230245,Andria ,Substitute,0,1,218527,14,218527.0,2700.0,45',0,0,-1,,,,2024-10-14 06:59:34
12504,715395,10528,home,1,,1,1,-1,152270,Geoffrey Kondogbia,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,10528,home,1,,1,1,-1,169823,Amos Youga,Defender,0,0,0,-1,,,,1,319646,-1,319646.0,2700.0,45',2024-10-14 01:54:08
12504,715395,10528,home,1,,1,1,-1,260236,Goduine Koyalipou,Forward,0,0,0,-1,,,,1,378165,-1,378165.0,4920.0,82',2024-10-14 01:54:08
12504,715395,10528,home,1,,1,1,-1,268720,Louis Mafouta,Forward,0,0,0,-1,,,,1,324134,-1,324134.0,4980.0,83',2024-10-14 01:54:08
12504,715395,10528,home,1,,1,1,-1,268721,Sadock Ndobé,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,10528,home,1,,1,1,-1,290552,Dominique Youfeigane,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,10528,home,1,,1,1,12,305776,Hugo Gambor,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12504,715395,10528,home,1,,1,1,-1,328768,Karl Namnganda,Midfielder,0,0,0,-1,,,,1,305671,-1,305671.0,3900.0,65',2024-10-14 01:54:08
12504,715395,10528,home,1,,1,1,-1,330833,Séverin Tatolna,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,10528,home,1,,1,1,-1,364745,Vénuste Baboula,Midfielder,0,0,0,-1,,,,1,384747,-1,384747.0,3930.0,66',2024-10-14 01:54:08
12504,715395,10528,home,1,,1,1,-1,376797,Isaac Solet,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,10528,home,1,,1,0,-1,324353,Isaac Ngoma,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,10528,home,1,,1,0,-1,324134,Christian-Theodor Yawanendji-Malipangou,Substitute,0,1,268720,-1,268720.0,4980.0,83',0,0,-1,,,,2024-10-14 01:54:08
12504,715395,10528,home,1,,1,0,-1,319646,Flory Yangao,Substitute,0,1,169823,-1,169823.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12504,715395,10528,home,1,,1,0,-1,318634,Freeman Niamathé,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,10528,home,1,,1,0,-1,370095,Guy Bekain-Djasra,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,10528,home,1,,1,0,-1,305671,Axel Urie,Substitute,0,1,328768,-1,328768.0,3900.0,65',0,0,-1,,,,2024-10-14 01:54:08
12504,715395,10528,home,1,,1,0,-1,378165,Tieri Godame,Substitute,0,1,260236,-1,260236.0,4920.0,82',0,0,-1,,,,2024-10-14 01:54:08
12504,715395,10528,home,1,,1,0,-1,384747,Hamissou Dangabo,Substitute,0,1,364745,-1,364745.0,3930.0,66',0,0,-1,,,,2024-10-14 01:54:08
12504,715395,10528,home,1,,1,0,-1,384749,Espérance Mabekondiasson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,10528,home,1,,1,0,-1,248108,Trésor Toropité,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,10528,home,1,,1,0,-1,384750,Jospin Bimako,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,10528,home,1,,1,0,-1,118265,Geoffrey Lembet,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,6640,away,0,,1,1,-1,247653,Sera Motebang,Forward,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,6640,away,0,,1,1,-1,247661,Thabo Makhele,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,6640,away,0,,1,1,-1,379154,Fusi Matlabe,Defender,0,0,0,-1,,,,1,310422,-1,310422.0,2790.0,47',2024-10-14 01:54:08
12504,715395,6640,away,0,,1,1,-1,247673,Jane Thabantso,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,6640,away,0,,1,1,-1,281845,Lehlohonolo Fothoane,Midfielder,0,0,0,-1,,,,1,370519,-1,370519.0,4830.0,81',2024-10-14 01:54:08
12504,715395,6640,away,0,,1,1,-1,345129,Lehlohonolo Matsau,Midfielder,0,0,0,-1,,,,1,313688,-1,313688.0,2760.0,46',2024-10-14 01:54:08
12504,715395,6640,away,0,,1,1,-1,338818,Tsepang Sefali,Midfielder,0,0,0,-1,,,,1,295094,-1,295094.0,4860.0,81',2024-10-14 01:54:08
12504,715395,6640,away,0,,1,1,-1,310425,Sekhoane Moerane,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,6640,away,0,,1,1,-1,310424,Thabang Malane,Defender,0,0,0,-1,,,,1,379153,-1,379153.0,4890.0,82',2024-10-14 01:54:08
12504,715395,6640,away,0,,1,1,-1,294359,Lisema Lebokollane,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,6640,away,0,,1,1,-1,294361,Rethabile Rasethuntsa,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,6640,away,0,,1,0,-1,384898,Ntsane Molise,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,6640,away,0,,1,0,-1,283466,Tankiso Chaba,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,6640,away,0,,1,0,-1,283468,Tsepo Toloane,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,6640,away,0,,1,0,-1,295093,Rethabile Mokokoane,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,6640,away,0,,1,0,-1,295094,Neo Mokhachane,Substitute,0,1,338818,-1,338818.0,4860.0,81',0,0,-1,,,,2024-10-14 01:54:08
12504,715395,6640,away,0,,1,0,-1,310422,Thabo Matsoele,Substitute,0,1,379154,-1,379154.0,2790.0,47',0,0,-1,,,,2024-10-14 01:54:08
12504,715395,6640,away,0,,1,0,-1,313688,Tlotliso Phatsisi,Substitute,0,1,345129,-1,345129.0,2760.0,46',0,0,-1,,,,2024-10-14 01:54:08
12504,715395,6640,away,0,,1,0,-1,338817,Katleho Makateng,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715395,6640,away,0,,1,0,-1,370519,Teboho Letsema,Substitute,0,1,281845,-1,281845.0,4830.0,81',0,0,-1,,,,2024-10-14 01:54:08
12504,715395,6640,away,0,,1,0,-1,379153,Thato Malakia Sefoli,Substitute,0,1,310424,-1,310424.0,4890.0,82',0,0,-1,,,,2024-10-14 01:54:08
12504,715395,6640,away,0,,1,0,-1,384897,Mokhele Molise,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12504,715396,2869,home,1,,1,1,21,246532,Brahim Díaz,Midfielder,0,0,0,-1,,,,1,331047,-1,331047.0,4440.0,74',2024-10-13 22:19:37
12504,715396,2869,home,1,,1,1,-1,276139,Soufiane Rahimi,Forward,0,0,0,-1,,,,1,269562,-1,269562.0,4080.0,68',2024-10-13 22:19:37
12504,715396,2869,home,1,,1,1,-1,277876,Abdel Abqar,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715396,2869,home,1,,1,1,-1,300912,Abde Ezzalzouli,Midfielder,0,0,0,-1,,,,1,291613,-1,291613.0,4800.0,80',2024-10-13 22:19:37
12504,715396,2869,home,1,,1,1,-1,336595,Bilal El Khannouss,Midfielder,0,0,0,-1,,,,1,319285,-1,319285.0,4770.0,80',2024-10-13 22:19:37
12504,715396,2869,home,1,,1,1,-1,245243,Nayef Aguerd,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715396,2869,home,1,,1,1,-1,175149,Yassine Bounou,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715396,2869,home,1,,1,1,-1,176733,Hakim Ziyech,Midfielder,0,0,0,-1,,,,1,291552,-1,291552.0,4500.0,75',2024-10-14 06:59:34
12504,715396,2869,home,1,,1,1,-1,240233,Achraf Hakimi,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715396,2869,home,1,,1,1,-1,239350,Noussair Mazraoui,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715396,2869,home,1,,1,1,-1,195226,Sofyan Amrabat,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715396,2869,home,1,,1,0,-1,242736,Youssef En-Nesyri,Forward,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715396,2869,home,1,,1,0,-1,331047,Ilias Akhomach,Forward,0,1,246532,-1,246532.0,4440.0,74',0,0,-1,,,,2024-10-13 22:19:37
12504,715396,2869,home,1,,1,0,-1,319285,Amir Richardson,Midfielder,0,1,336595,-1,336595.0,4770.0,80',0,0,-1,,,,2024-10-14 06:59:34
12504,715396,2869,home,1,,1,0,-1,291613,Amine Adli,Midfielder,0,1,300912,-1,300912.0,4800.0,80',0,0,-1,,,,2024-10-13 22:19:37
12504,715396,2869,home,1,,1,0,-1,291552,Azzedine Ounahi,Midfielder,0,1,176733,-1,176733.0,4500.0,75',0,0,-1,,,,2024-10-13 22:19:37
12504,715396,2869,home,1,,1,0,-1,269562,Ayoub El Kaabi,Forward,0,1,276139,-1,276139.0,4080.0,68',0,0,-1,,,,2024-10-13 22:19:37
12504,715396,4231,away,0,,1,1,-1,333021,Brimau Nziengui,Midfielder,0,0,0,-1,,,,1,210505,-1,210505.0,3960.0,66',2024-10-13 22:19:37
12504,715396,4231,away,0,,1,1,-1,376728,Loyce Mbaba,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715396,4231,away,0,,1,1,10,342892,Shavy Babicka,Forward,0,0,0,-1,,,,1,391110,-1,391110.0,3900.0,65',2024-10-13 22:19:37
12504,715396,4231,away,0,,1,1,-1,333218,Jacques Ekomie,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715396,4231,away,0,,1,1,-1,333132,Alex Moussounda,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715396,4231,away,0,,1,1,-1,315213,Anthony Oyono,Defender,0,0,0,-1,,,,1,376726,-1,376726.0,4680.0,78',2024-10-13 22:19:37
12504,715396,4231,away,0,,1,1,-1,215332,Aaron Appindangoyé,Defender,0,0,0,-1,,,,1,113535,-1,113535.0,3930.0,66',2024-10-13 22:19:37
12504,715396,4231,away,0,,1,1,13,266799,Medwin Biteghe,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715396,4231,away,0,,1,1,-1,213304,Dénis Bouanga,Forward,0,1,382560,-1,382560.0,5400.0,90'+1',0,0,-1,,,,2024-10-13 22:19:37
12504,715396,4231,away,0,,1,1,-1,180652,Guélor Kanga,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715396,4231,away,0,,1,1,-1,122260,Pierre-Emerick Aubameyang,Forward,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715396,4231,away,0,,1,0,-1,113535,Bruno Ecuélé Manga,Defender,0,1,215332,-1,215332.0,3930.0,66',0,0,-1,,,,2024-10-13 22:19:37
12504,715396,4231,away,0,,1,0,-1,391110,Rody Effaghe,Forward,0,1,342892,10,342892.0,3900.0,65',0,0,-1,,,,2024-10-13 22:19:37
12504,715396,4231,away,0,,1,0,-1,382560,Jérémie Moussango,Forward,0,0,0,-1,,,,1,213304,-1,213304.0,5400.0,90'+1',2024-10-13 22:19:37
12504,715396,4231,away,0,,1,0,-1,376727,Anse Ngoubi,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715396,4231,away,0,,1,0,-1,376726,Jérémy Oyono,Defender,0,1,315213,-1,315213.0,4680.0,78',0,0,-1,,,,2024-10-13 22:19:37
12504,715396,4231,away,0,,1,0,-1,210505,David Sambissa,Defender,0,1,333021,-1,333021.0,3960.0,66',0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2620,home,1,,1,1,-1,303745,Omar Marmoush,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2620,home,1,,1,1,-1,357112,Marwan Attia,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2620,home,1,,1,1,-1,285057,Hamdi Fathi,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2620,home,1,,1,1,-1,272960,Mohamed Hamdy,Defender,0,0,0,-1,,,,1,255155,-1,255155.0,4710.0,79',2024-10-13 22:19:37
12504,715397,2620,home,1,,1,1,-1,243816,Mostafa Mohamed,Forward,0,0,0,-1,,,,1,183896,-1,183896.0,3000.0,50',2024-10-13 22:19:37
12504,715397,2620,home,1,,1,1,-1,205212,Mohamed El Shenawy,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2620,home,1,,1,1,-1,195154,Zizo,Midfielder,0,0,0,-1,,,,1,299619,-1,299619.0,3960.0,66',2024-10-13 22:19:37
12504,715397,2620,home,1,,1,1,-1,187571,Rami Hisham Rabia,Defender,0,0,0,-1,,,,1,312563,-1,312563.0,4740.0,79',2024-10-13 22:19:37
12504,715397,2620,home,1,,1,1,-1,173896,Mohamed Salah,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2620,home,1,,1,1,-1,157825,Trézéguet,Midfielder,0,0,0,-1,,,,1,370893,-1,370893.0,3930.0,66',2024-10-13 22:19:37
12504,715397,2620,home,1,,1,1,-1,119993,Mohamed Hany,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12504,715397,2620,home,1,,1,0,-1,299619,Ibrahim Adel,Forward,0,1,195154,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2620,home,1,,1,0,-1,308915,Mostafa Shobeir,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2620,home,1,,1,0,-1,255155,Ahmed Ramadan,Defender,0,1,272960,-1,272960.0,4710.0,79',0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2620,home,1,,1,0,-1,370893,Mostafa Fathi,Forward,0,1,157825,-1,157825.0,3930.0,66',0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2620,home,1,,1,0,-1,312563,Ahmed Koka,Midfielder,0,1,187571,-1,187571.0,4740.0,79',0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2620,home,1,,1,0,-1,183896,Mohamed Elneny,Midfielder,0,1,243816,-1,243816.0,3000.0,50',0,0,-1,,,,2024-10-14 06:59:34
12504,715397,2597,away,0,,1,1,-1,135216,Ryan Mendes,Forward,0,0,0,-1,,,,1,274286,-1,274286.0,4320.0,72',2024-10-13 22:19:37
12504,715397,2597,away,0,,1,1,-1,180113,Steven Moreira,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2597,away,0,,1,1,-1,246442,Deroy Duarte,Midfielder,0,0,0,-1,,,,1,366092,-1,366092.0,3840.0,64',2024-10-13 22:19:37
12504,715397,2597,away,0,,1,1,-1,257716,Roberto Lopes,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2597,away,0,,1,1,-1,271129,Logan Costa,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2597,away,0,,1,1,-1,271675,Willy Semedo,Forward,0,0,0,-1,,,,1,367588,-1,367588.0,4560.0,76',2024-10-14 06:59:34
12504,715397,2597,away,0,,1,1,-1,165799,Bruno Varela,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2597,away,0,,1,1,-1,276125,Patrick,Midfielder,0,0,0,-1,,,,1,222236,-1,222236.0,2700.0,45',2024-10-14 06:59:34
12504,715397,2597,away,0,,1,1,-1,330211,Dailon Livramento,Forward,0,0,0,-1,,,,1,310261,-1,310261.0,2670.0,45',2024-10-13 22:19:37
12504,715397,2597,away,0,,1,1,-1,327173,Kevin Pina,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2597,away,0,,1,1,-1,318631,João Paulo,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2597,away,0,,1,0,-1,310261,Benchimol,Forward,0,1,330211,-1,330211.0,2670.0,45',0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2597,away,0,,1,0,-1,181330,Vozinha,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12504,715397,2597,away,0,,1,0,-1,222236,Laros Duarte,Midfielder,0,1,276125,-1,276125.0,2700.0,45',0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2597,away,0,,1,0,-1,274286,David Tavares,Midfielder,0,1,135216,-1,135216.0,4320.0,72',0,0,-1,,,,2024-10-13 22:19:37
12504,715397,2597,away,0,,1,0,-1,367588,Fabrício Andrade,Forward,0,1,271675,-1,271675.0,4560.0,76',0,0,-1,,,,2024-10-13 22:19:37
